               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.027254,            0.008963,           0.0032662,              0.7192,             0.82764,             0.72186,             0.48556,            0.017981,           0.0046579,            0.033358,           0.0073864,           0.0073864,           0.0073864
                 134,             0.02143,           0.0085077,           0.0064859,             0.72012,             0.82747,             0.70715,             0.49691,            0.016318,           0.0046442,            0.032681,           0.0073666,           0.0073666,           0.0073666
                 135,            0.031055,           0.0088119,           0.0019465,             0.72063,             0.82719,             0.70715,             0.47693,            0.016471,           0.0047856,            0.032953,           0.0073468,           0.0073468,           0.0073468
                 136,            0.030211,           0.0078524,           0.0021323,             0.67258,             0.82857,              0.6654,             0.39518,            0.019813,           0.0051552,            0.030283,            0.007327,            0.007327,            0.007327
                 137,              0.0281,           0.0073444,           0.0019015,              0.7306,             0.82823,             0.71822,              0.4814,            0.016499,           0.0055117,            0.028057,           0.0073072,           0.0073072,           0.0073072
                 138,            0.029444,           0.0084309,           0.0033736,             0.78186,             0.81267,             0.77951,             0.57471,            0.014643,           0.0052914,             0.02395,           0.0072874,           0.0072874,           0.0072874
                 139,            0.025986,           0.0074637,           0.0016103,             0.77672,              0.8292,             0.76664,             0.49121,            0.017925,           0.0048696,            0.022226,           0.0072676,           0.0072676,           0.0072676
                 140,            0.027817,           0.0077722,           0.0055542,             0.78546,             0.83333,             0.76069,             0.57108,            0.014127,           0.0043803,            0.021412,           0.0072478,           0.0072478,           0.0072478
                 141,             0.02602,           0.0088676,           0.0050358,             0.78868,             0.83333,             0.76871,             0.55892,            0.014947,           0.0045219,            0.020442,            0.007228,            0.007228,            0.007228
                 142,            0.027235,           0.0095243,           0.0047899,             0.78888,             0.83333,             0.81012,             0.62576,            0.013963,            0.004516,            0.021259,           0.0072082,           0.0072082,           0.0072082
